,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
0,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r21y31g06b08.jpeg,Rep/r16y09g06b10.jpeg,21,16,31,09,06,06,08,10,-3,1,-1,0,0,1,0,2.587,8.445,3.539,0,1st time,1st time
1,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r12y07g16b25.jpeg,Red/r18y19g14b27.jpeg,12,18,07,19,16,14,25,27,-3,-3,0,0,0,0,0,1.915,2.397,0.0,0,1st time,1st time
2,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r23y25g12b17.jpeg,Red/r38y05g25b19.jpeg,23,38,25,05,12,25,17,19,3,3,0,0,1,1,0,1.939,3.039,0.0,0,1st time,1st time
3,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r24y08g18b33.jpeg,Red/r08y23g10b29.jpeg,24,08,08,23,18,10,33,29,-2,-3,0,0,1,1,0,4.884,3.287,0.0,0,1st time,1st time
4,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r05y40g33b16.jpeg,Red/r27y31g17b12.jpeg,05,27,40,31,33,17,16,12,-2,3,0,1,1,0,0,3.832,4.026,0.0,4.454,1st time,1st time
5,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r29y07g26b12.jpeg,Rep/r17y22g16b15.jpeg,29,17,07,22,26,16,12,15,2,2,0,0,1,1,0,1.888,6.547,0.0,0,1st time,1st time
6,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r25y08g24b21.jpeg,Red/r20y14g02b19.jpeg,25,20,08,14,24,02,21,19,-2,2,0,-1,1,0,1,1.307,3.301,0.0,1.437,1st time,1st time
7,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r18y19g14b27.jpeg,Red/r27y05g22b23.jpeg,18,27,19,05,14,22,27,23,-2,-2,0,0,1,1,0,2.574,3.203,0.0,0,1st time,1st time
8,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r18y13g28b06.jpeg,Red/r39y18g11b09.jpeg,18,39,13,18,28,11,06,09,2,-2,0,1,1,0,1,1.332,2.282,0.0,1.25,1st time,1st time
9,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r03y03g02b05.jpeg,Red/r04y28g27b06.jpeg,03,04,03,28,02,27,05,06,2,-3,0,1,1,0,1,2.188,3.497,0.0,1.232,1st time,1st time
10,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r06y14g31b25.jpeg,Red/r18y19g14b27.jpeg,06,18,14,19,31,14,25,27,3,3,0,0,1,1,0,1.586,2.238,0.0,0,1st time,1st time
11,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r13y24g05b28.jpeg,Red/r28y04g21b25.jpeg,13,28,24,04,05,21,28,25,-2,-2,0,0,1,1,0,4.161,2.274,0.0,0,1st time,1st time
12,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r15y16g12b03.jpeg,Red/r10y03g03b07.jpeg,15,10,16,03,12,03,03,07,2,2,0,0,1,1,0,2.47,1.826,0.0,0,1st time,1st time
13,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r08y09g09b11.jpeg,Rep/r24y10g05b14.jpeg,08,24,09,10,09,05,11,14,2,2,0,0,1,1,0,1.431,1.574,0.0,0,1st time,1st time
14,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r24y08g18b33.jpeg,Red/r21y03g15b37.jpeg,24,21,08,03,18,15,33,37,2,3,0,0,1,1,0,1.568,1.344,0.0,0,1st time,1st time
15,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r06y19g29b08.jpeg,Red/r07y02g03b06.jpeg,06,07,19,02,29,03,08,06,-2,2,0,-1,1,0,1,2.979,1.953,0.0,2.006,1st time,1st time
16,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r17y11g38b07.jpeg,Red/r21y24g16b04.jpeg,17,21,11,24,38,16,07,04,-2,-2,0,0,1,1,0,1.526,1.931,0.0,0,1st time,1st time
17,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r17y07g07b24.jpeg,Red/r06y14g31b25.jpeg,17,06,07,14,07,31,24,25,2,2,0,0,1,1,0,2.355,1.815,0.0,0,1st time,1st time
18,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r14y10g15b15.jpeg,Red/r10y27g22b14.jpeg,14,10,10,27,15,22,15,14,2,-2,-1,0,0,1,1,2.004,2.574,2.496,0,1st time,1st time
19,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r22y38g15b22.jpeg,Red/r27y05g22b23.jpeg,22,27,38,05,15,22,22,23,2,3,0,0,1,1,0,1.34,2.103,0.0,0,1st time,1st time
20,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r17y11g38b07.jpeg,Rep/r15y05g12b10.jpeg,17,15,11,05,38,12,07,10,2,2,0,0,1,1,0,1.628,1.339,0.0,0,1st time,1st time
21,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r09y06g26b32.jpeg,Red/r23y30g06b31.jpeg,09,23,06,30,26,06,32,31,2,2,0,0,0,0,0,4.832,1.317,0.0,0,1st time,1st time
22,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r16y21g04b04.jpeg,Red/r33y06g37b06.jpeg,16,33,21,06,04,37,04,06,1,-3,-1,0,1,0,0,2.312,1.849,1.665,0,1st time,1st time
23,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r08y23g10b29.jpeg,Red/r09y06g26b32.jpeg,08,09,23,06,10,26,29,32,2,4,0,0,1,1,0,1.336,2.475,0.0,0,1st time,1st time
24,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r15y17g24b30.jpeg,Red/r18y19g14b27.jpeg,15,18,17,19,24,14,30,27,-2,4,1,0,1,0,0,2.167,1.81,2.396,0,1st time,1st time
25,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r07y06g08b05.jpeg,Rep/r15y16g12b03.jpeg,07,15,06,16,08,12,05,03,-2,-2,0,0,1,1,0,1.638,1.065,0.0,0,1st time,1st time
26,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r30y03g14b24.jpeg,Red/r12y12g14b26.jpeg,30,12,03,12,14,14,24,26,4,4,0,0,1,1,0,1.742,2.091,0.0,0,1st time,1st time
27,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r21y01g04b27.jpeg,Red/r12y12g14b26.jpeg,21,12,01,12,04,14,27,26,4,3,0,0,0,0,0,3.071,3.102,0.0,0,1st time,1st time
28,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r10y37g07b02.jpeg,Rep/r18y13g28b06.jpeg,10,18,37,13,07,28,02,06,2,-1,1,0,1,0,1,1.611,2.923,2.127,0,1st time,1st time
29,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r23y30g06b31.jpeg,Rep/r15y17g24b30.jpeg,23,15,30,17,06,24,31,30,-2,2,0,-1,1,0,1,2.478,2.134,0.0,2.554,1st time,1st time
30,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r08y12g20b03.jpeg,Red/r17y20g40b07.jpeg,08,17,12,20,20,40,03,07,1,2,0,0,1,1,0,2.318,5.286,0.0,0,1st time,1st time
31,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r05y28g23b30.jpeg,Red/r09y06g26b32.jpeg,05,09,28,06,23,26,30,32,2,4,0,0,1,1,0,1.291,1.782,0.0,0,1st time,1st time
32,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r28y04g21b25.jpeg,Rep/r25y08g24b21.jpeg,28,25,04,08,21,24,25,21,3,2,0,0,0,0,0,2.606,1.649,0.0,0,1st time,1st time
33,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r22y23g20b06.jpeg,Red/r07y06g08b05.jpeg,22,07,23,06,20,08,06,05,-2,-3,0,0,1,1,0,2.337,1.402,0.0,0,1st time,1st time
34,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Red/r07y14g27b22.jpeg,Red/r03y11g01b26.jpeg,07,03,14,11,27,01,22,26,-2,-2,0,0,0,0,0,1.899,3.899,0.0,0,1st time,1st time
35,37_26_4,larsk,andersh,One screen,Male,Male,23,21,Familiar with partner,1,Rep/r16y09g06b10.jpeg,Red/r31y29g03b13.jpeg,16,31,09,29,06,03,10,13,2,3,0,0,1,1,0,1.121,1.533,0.0,0,1st time,1st time
