,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
22,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r16y21g04b04.jpeg,Rep\r21y31g06b08.jpeg,16,21,21,31,04,06,04,08,1,-1,0,1,1,0,1,1.33,1.259,0,2.191,2nd time,2nd time
23,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r27y05g22b23.jpeg,Rep\r21y01g04b27.jpeg,27,21,05,01,22,04,23,27,1,-1,0,1,1,0,1,1.422,1.203,0,1.797,2nd time,2nd time
24,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r12y12g14b26.jpeg,Red\r05y28g23b30.jpeg,12,05,12,28,14,23,26,30,1,-1,1,0,1,0,1,1.598,2.377,2.163,0,2nd time,2nd time
25,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r10y07g11b10.jpeg,Red\r02y10g14b11.jpeg,10,02,07,10,11,14,10,11,1,1,0,0,1,1,0,1.362,1.19,0,0,2nd time,2nd time
26,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r27y31g17b12.jpeg,Red\r26y29g04b11.jpeg,27,26,31,29,17,04,12,11,1,1,0,0,0,0,0,2.373,2.436,0,0,2nd time,2nd time
27,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r14y08g21b39.jpeg,Red\r24y16g07b40.jpeg,14,24,08,16,21,07,39,40,-1,-1,0,0,0,0,0,1.645,1.055,0,0,2nd time,2nd time
28,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r03y06g12b09.jpeg,Rep\r22y02g34b05.jpeg,03,22,06,02,12,34,09,05,1,-1,0,1,0,1,0,1.121,1.916,0,1.676,2nd time,2nd time
29,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r21y31g06b08.jpeg,Red\r32y16g04b09.jpeg,21,32,31,16,06,04,08,09,-1,-1,0,0,0,0,0,1.689,2.753,0,0,2nd time,2nd time
30,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r17y20g40b07.jpeg,Red\r03y03g02b05.jpeg,17,03,20,03,40,02,07,05,-1,1,-1,0,1,0,1,1.697,2.593,4.04,0,2nd time,2nd time
31,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r28y04g21b25.jpeg,Red\r18y19g14b27.jpeg,28,18,04,19,21,14,25,27,-1,-1,0,0,0,0,0,1.679,1.444,0,0,2nd time,2nd time
32,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r17y07g07b24.jpeg,Red\r12y07g16b25.jpeg,17,12,07,07,07,16,24,25,-1,-1,0,0,0,0,0,1.889,1.185,0,0,2nd time,2nd time
33,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r14y10g15b15.jpeg,Red\r29y25g18b18.jpeg,14,29,10,25,15,18,15,18,1,-1,0,1,1,0,1,1.366,3.194,0,1.778,2nd time,2nd time
34,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r07y06g08b05.jpeg,Red\r37y22g19b02.jpeg,07,37,06,22,08,19,05,02,-1,1,1,0,1,0,0,2.81,2.287,5.338,0,2nd time,2nd time
35,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r36y05g11b03.jpeg,Red\r40y04g15b01.jpeg,36,40,05,04,11,15,03,01,-1,1,-1,0,1,0,1,1.709,4.037,2.001,0,2nd time,2nd time
36,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r17y20g40b07.jpeg,Red\r26y29g04b11.jpeg,17,26,20,29,40,04,07,11,-1,-1,0,0,0,0,0,2.531,2.276,0,0,2nd time,2nd time
37,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r25y30g09b15.jpeg,Red\r27y31g17b12.jpeg,25,27,30,31,09,17,15,12,1,-1,-1,0,0,1,1,2.425,2.155,4.261,0,2nd time,2nd time
38,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r09y17g32b21.jpeg,Red\r27y05g22b23.jpeg,09,27,17,05,32,22,21,23,1,1,0,0,1,1,0,1.294,2.874,0,0,2nd time,2nd time
39,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r21y03g15b37.jpeg,Red\r10y13g07b36.jpeg,21,10,03,13,15,07,37,36,1,1,0,0,0,0,0,1.313,1.841,0,0,2nd time,2nd time
40,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r15y17g24b30.jpeg,Red\r09y06g26b32.jpeg,15,09,17,06,24,26,30,32,-1,-1,0,0,0,0,0,2.688,1.984,0,0,2nd time,2nd time
41,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r24y08g18b33.jpeg,Rep\r21y03g15b37.jpeg,24,21,08,03,18,15,33,37,1,1,0,0,1,1,0,1.248,4.628,0,0,2nd time,2nd time
42,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r21y31g06b08.jpeg,Red\r07y02g03b06.jpeg,21,07,31,02,06,03,08,06,1,-1,1,0,0,1,0,1.482,1.731,2.267,0,2nd time,2nd time
43,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r15y05g12b10.jpeg,Red\r04y28g27b06.jpeg,15,04,05,28,12,27,10,06,1,-1,0,1,0,1,0,1.647,1.392,0,2.272,2nd time,2nd time
