,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
0,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r04y28g27b06.jpeg,Rep/r19y15g35b05.jpeg,04,19,28,15,27,35,06,05,1,-1,-1,0,0,1,1,1.458,0.984,0.873,0,2nd time,2nd time
1,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Rep/r19y15g35b05.jpeg,Red/r09y07g06b09.jpeg,19,09,15,07,35,06,05,09,1,1,0,0,1,1,0,0.752,0.511,0.0,0,2nd time,2nd time
2,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r09y15g18b07.jpeg,Rep/r19y15g35b05.jpeg,09,19,15,15,18,35,07,05,1,-1,-1,0,0,1,1,0.899,0.943,0.944,0,2nd time,2nd time
3,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r03y11g01b26.jpeg,Red/r17y07g07b24.jpeg,03,17,11,07,01,07,26,24,-2,1,-1,0,1,0,1,1.17,1.431,1.242,0,2nd time,2nd time
4,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r17y20g40b07.jpeg,Red/r23y34g09b11.jpeg,17,23,20,34,40,09,07,11,1,1,0,0,1,1,0,0.774,0.52,0.0,0,2nd time,2nd time
5,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r22y35g09b11.jpeg,Red/r21y31g06b08.jpeg,22,21,35,31,09,06,11,08,-1,-1,0,0,1,1,0,0.731,0.761,0.0,0,2nd time,2nd time
6,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Rep/r16y09g06b10.jpeg,Red/r07y02g03b06.jpeg,16,07,09,02,06,03,10,06,1,1,0,0,0,0,0,0.629,0.974,0.0,0,2nd time,2nd time
7,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r28y04g21b25.jpeg,Red/r25y08g24b21.jpeg,28,25,04,08,21,24,25,21,1,-1,0,-1,0,1,1,0.823,1.09,0.0,1.008,2nd time,2nd time
8,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r06y14g31b25.jpeg,Red/r18y19g14b27.jpeg,06,18,14,19,31,14,25,27,-2,-1,0,0,0,0,0,0.835,1.317,0.0,0,2nd time,2nd time
9,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r21y01g04b27.jpeg,Rep/r15y17g24b30.jpeg,21,15,01,17,04,24,27,30,1,1,0,0,1,1,0,1.174,1.4,0.0,0,2nd time,2nd time
10,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r12y07g16b25.jpeg,Rep/r17y07g07b24.jpeg,12,17,07,07,16,07,25,24,1,1,0,0,0,0,0,1.268,1.339,0.0,0,2nd time,2nd time
11,19_10_50,signe,seb,One screen,Female,Male,23,23,Familiar with partner,1,Red/r24y10g05b14.jpeg,Red/r16y09g06b10.jpeg,24,16,10,09,05,06,14,10,-2,-1,0,0,1,1,0,1.12,1.232,0.0,0,2nd time,2nd time
