,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
0,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r10y27g22b14.jpeg,Rep\r19y10g06b15.jpeg,10,19,27,10,22,06,14,15,3,3,0,0,1,1,0,3.273,10.423,0,0,1st time,1st time
1,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r27y05g22b23.jpeg,Red\r12y07g16b25.jpeg,27,12,05,07,22,16,23,25,2,1,0,0,1,1,0,2.16,2.324,0,0,1st time,1st time
2,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r21y31g06b08.jpeg,Red\r08y09g09b11.jpeg,21,08,31,09,06,09,08,11,2,1,0,0,1,1,0,1.777,2.053,0,0,1st time,1st time
3,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r15y17g24b30.jpeg,Red\r12y12g14b26.jpeg,15,12,17,12,24,14,30,26,2,2,0,0,0,0,0,2.02,1.834,0,0,1st time,1st time
4,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r11y14g08b23.jpeg,Red\r03y11g01b26.jpeg,11,03,14,11,08,01,23,26,-3,-2,0,0,0,0,0,1.955,2.346,0,0,1st time,1st time
5,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r38y05g25b19.jpeg,Red\r26y04g10b20.jpeg,38,26,05,04,25,10,19,20,-3,-1,0,0,0,0,0,2.229,1.71,0,0,1st time,1st time
6,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r30y03g14b24.jpeg,Red\r12y07g16b25.jpeg,30,12,03,07,14,16,24,25,-2,2,0,1,0,1,1,1.563,1.842,0,6.014,1st time,1st time
7,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Rep\r21y03g15b37.jpeg,Rep\r24y16g07b40.jpeg,21,24,03,16,15,07,37,40,-2,1,-1,0,0,1,0,1.685,3.115,5.505,0,1st time,1st time
8,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r07y02g03b06.jpeg,Red\r08y12g20b03.jpeg,07,08,02,12,03,20,06,03,-1,-1,0,0,1,1,0,2.033,1.447,0,0,1st time,1st time
9,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r11y10g06b19.jpeg,Rep\r19y10g06b15.jpeg,11,19,10,10,06,06,19,15,-1,1,1,0,1,0,0,1.638,1.564,2.61,0,1st time,1st time
10,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Rep\r21y01g04b27.jpeg,Red\r12y12g14b26.jpeg,21,12,01,12,04,14,27,26,-2,1,-1,0,1,0,1,1.785,1.338,1.998,0,1st time,1st time
11,38_26_4,annas,anneed,Two screens,Female,Female,21,23,Not familiar with partner,1,Red\r22y38g15b22.jpeg,Rep\r25y08g24b21.jpeg,22,25,38,08,15,24,22,21,-1,2,-1,0,1,0,1,2.287,2.163,2.831,0,1st time,1st time
